     h  k  l        d       absF         lp twotheta
1    0 -3 -3 1.251959  75.584234   3.542651 76.01556
2    1 -3 -3 1.256173  36.237725   3.567611 75.71543
3    2 -3 -3 1.200720   5.343409   3.261708 79.88898
4   -2 -1 -3 1.204118  19.106531   3.278979 79.61847
5   -1 -1 -3 1.311544  32.105685   3.919226 72.00116
6    0 -1 -3 1.364435  23.289472   4.292806 68.80570
7    1 -1 -3 1.339767  31.374937   4.114256 70.25683
8    2 -1 -3 1.248799  75.756598   3.524112 76.24233
9   -2  1 -3 1.248799  75.756598   3.524112 76.24233
10  -1  1 -3 1.339767  31.374937   4.114256 70.25683
11   0  1 -3 1.364435  23.289472   4.292806 68.80570
12   1  1 -3 1.311544  32.105685   3.919226 72.00116
13   2  1 -3 1.204118  19.106531   3.278979 79.61847
14  -2  3 -3 1.200720   5.343409   3.261708 79.88898
15  -1  3 -3 1.256173  36.237725   3.567611 75.71543
16   0  3 -3 1.251959  75.584234   3.542651 76.01556
17   0 -6 -2 1.206522 133.879262   3.291320 79.42833
18   1 -6 -2 1.243863  10.050262   3.495462 76.59956
19   2 -6 -2 1.221819  15.037927   3.372179 78.24169
20  -2 -4 -2 1.230830  16.082098   3.421628 77.56109
21  -1 -4 -2 1.392950  14.509665   4.508152 67.20690
22   0 -4 -2 1.516491  33.918160   5.542464 61.10873
23   1 -4 -2 1.545908  14.116624   5.811214 59.82571
24   2 -4 -2 1.464570 158.096635   5.088619 63.52203
25   3 -4 -2 1.315180  10.893649   3.943783 71.77111
26  -3 -2 -2 1.245166  12.598650   3.502988 76.50491
27  -2 -2 -2 1.473867 161.231250   5.167911 63.07508
28  -1 -2 -2 1.715313  13.500082   7.510768 53.41450
29   0 -2 -2 1.877938  29.157065   9.367809 48.47404
30   1 -2 -2 1.852489  15.149694   9.063344 49.18374
31   2 -2 -2 1.658845  30.152432   6.916507 55.38563
32   3 -2 -2 1.414828  14.107041   4.679609 66.03344
33  -3  0 -2 1.384294  12.950663   4.441794 67.68369
34  -2  0 -2 1.663324  33.129939   6.962652 55.22375
35  -1  0 -2 1.941804  14.500782  10.153939 46.78285
36   0  0 -2 2.071100 202.550906  11.840020 43.70590
37   1  0 -2 1.941804  14.500782  10.153939 46.78285
38   2  0 -2 1.663324  33.129939   6.962652 55.22375
39   3  0 -2 1.384294  12.950663   4.441794 67.68369
40  -3  2 -2 1.414828  14.107041   4.679609 66.03344
41  -2  2 -2 1.658845  30.152432   6.916507 55.38563
42  -1  2 -2 1.852489  15.149694   9.063344 49.18374
43   0  2 -2 1.877938  29.157065   9.367809 48.47404
44   1  2 -2 1.715313  13.500082   7.510768 53.41450
45   2  2 -2 1.473867 161.231250   5.167911 63.07508
46   3  2 -2 1.245166  12.598650   3.502988 76.50491
47  -3  4 -2 1.315180  10.893649   3.943783 71.77111
48  -2  4 -2 1.464570 158.096635   5.088619 63.52203
49  -1  4 -2 1.545908  14.116624   5.811214 59.82571
50   0  4 -2 1.516491  33.918160   5.542464 61.10873
51   1  4 -2 1.392950  14.509665   4.508152 67.20690
52   2  4 -2 1.230830  16.082098   3.421628 77.56109
53  -2  6 -2 1.221819  15.037927   3.372179 78.24169
54  -1  6 -2 1.243863  10.050262   3.495462 76.59956
55   0  6 -2 1.206522 133.879262   3.291320 79.42833
56   0 -7 -1 1.216268  39.796656   3.342379 78.66770
57   1 -7 -1 1.266688  19.190964   3.631043 74.97786
58   2 -7 -1 1.255245  76.727431   3.562094 75.78127
59  -2 -5 -1 1.267004  76.038375   3.632976 74.95592
60  -1 -5 -1 1.464726  47.575865   5.089938 63.51449
61   0 -5 -1 1.636400   2.673396   6.687844 56.21215
62   1 -5 -1 1.702682  37.859868   7.375515 53.84257
63   2 -5 -1 1.620974  47.129461   6.533234 56.79536
64   3 -5 -1 1.442787  27.443989   4.906304 64.59623
65   4 -5 -1 1.245763  77.269892   3.506446 76.46162
66  -3 -3 -1 1.325095  33.140947   4.011602 71.15199
67  -2 -3 -1 1.637882  28.800735   6.702817 56.15675
68  -1 -3 -1 2.040510  33.782769  11.429822 44.39569
69   0 -3 -1 2.413043  98.018844  16.888333 37.26284
70   1 -3 -1 2.443638  57.527349  17.380743 36.77947
71   2 -3 -1 2.097254   5.080962  12.196207 43.13338
72   3 -3 -1 1.686945  37.940297   7.208869 54.38606
73   4 -3 -1 1.361330  39.617034   4.269930 68.98477
74  -4 -1 -1 1.257255  76.545270   3.574064 75.63877
75  -3 -1 -1 1.589186  42.588046   6.221263 58.03825
76  -2 -1 -1 2.115517  26.868312  12.447928 42.74261
77  -1 -1 -1 2.947735  52.571222  26.434599 30.32156
78   0 -1 -1 3.755876  35.599087  44.589925 23.68899
79   1 -1 -1 3.317690  52.382011  34.193232 26.87276
80   2 -1 -1 2.390648  98.179401  16.532083 37.62496
81   3 -1 -1 1.758850  39.601685   7.987072 51.99185
82   4 -1 -1 1.366287   8.228886   4.306509 68.69934
83  -4  1 -1 1.366287   8.228886   4.306509 68.69934
84  -3  1 -1 1.758850  39.601685   7.987072 51.99185
85  -2  1 -1 2.390648  98.179401  16.532083 37.62496
86  -1  1 -1 3.317690  52.382011  34.193232 26.87276
87   0  1 -1 3.755876  35.599087  44.589925 23.68899
88   1  1 -1 2.947735  52.571222  26.434599 30.32156
89   2  1 -1 2.115517  26.868312  12.447928 42.74261
90   3  1 -1 1.589186  42.588046   6.221263 58.03825
91   4  1 -1 1.257255  76.545270   3.574064 75.63877
92  -4  3 -1 1.361330  39.617034   4.269930 68.98477
93  -3  3 -1 1.686945  37.940297   7.208869 54.38606
94  -2  3 -1 2.097254   5.080962  12.196207 43.13338
95  -1  3 -1 2.443638  57.527349  17.380743 36.77947
96   0  3 -1 2.413043  98.018844  16.888333 37.26284
97   1  3 -1 2.040510  33.782769  11.429822 44.39569
98   2  3 -1 1.637882  28.800735   6.702817 56.15675
99   3  3 -1 1.325095  33.140947   4.011602 71.15199
100 -4  5 -1 1.245763  77.269892   3.506446 76.46162
101 -3  5 -1 1.442787  27.443989   4.906304 64.59623
102 -2  5 -1 1.620974  47.129461   6.533234 56.79536
103 -1  5 -1 1.702682  37.859868   7.375515 53.84257
104  0  5 -1 1.636400   2.673396   6.687844 56.21215
105  1  5 -1 1.464726  47.575865   5.089938 63.51449
106  2  5 -1 1.267004  76.038375   3.632976 74.95592
107 -2  7 -1 1.255245  76.727431   3.562094 75.78127
108 -1  7 -1 1.266688  19.190964   3.631043 74.97786
109  0  7 -1 1.216268  39.796656   3.342379 78.66770
110 -1 -6  0 1.337964  12.630302   4.101491 70.36555
111  0 -6  0 1.484413 158.324988   5.258906 62.57615
112  1 -6  0 1.555677  10.050123   5.902268 59.41212
113  2 -6  0 1.513184  18.447524   5.512772 61.25660
114  3 -6  0 1.380887  17.561816   4.415909 67.87337
115  4 -6  0 1.216012  26.430442   3.341016 78.68748
116 -3 -4  0 1.254091  12.399807   3.555248 75.86336
117 -2 -4  0 1.530402  19.083424   5.668531 60.49480
118 -1 -4  0 1.882269  16.090435   9.420126 48.35537
119  0 -4  0 2.226619  41.551689  14.031598 40.51349
120  1 -4  0 2.323008  16.195846  15.477712 38.76358
121  2 -4  0 2.071331 198.781100  11.843138 43.70078
122  3 -4  0 1.702500  11.219359   7.373568 53.84882
123  4 -4  0 1.385296  22.837055   4.449433 67.62812
